"lemma_id";"cwn_pinyin";"cwn_zhuyin";"lemma_sno";"lemma_type";"meet_date"
"080629";"ba1";"ㄅㄚ";"3";"巴";"2008/12/5 00:00:00"
"080630";"ba1";"ㄅㄚ";"4";"巴";"2008/12/5 00:00:00"
"080631";"ba1";"ㄅㄚ";"5";"巴";"2008/12/5 00:00:00"
"080632";"ba1";"ㄅㄚ";"6";"巴";"2008/12/5 00:00:00"
"080633";"ba1";"ㄅㄚ";"7";"巴";"2008/12/5 00:00:00"
"080634";"ba1";"ㄅㄚ";"8";"巴";"2008/12/5 00:00:00"
"080635";"ba1";"ㄅㄚ";"9";"巴";"2008/12/5 00:00:00"
"080636";"ba1";"ㄅㄚ";"11";"巴";"2008/12/5 00:00:00"
"080637";"ba1";"ㄅㄚ";"12";"巴";"2008/12/5 00:00:00"
"080638";"ba1";"ㄅㄚ";"13";"巴";"2008/12/5 00:00:00"
"080639";"fu2";"ㄈㄨˊ";"2";"伏";"2008/10/3 00:00:00"
"080640";"bao4";"ㄅㄠˋ";"2";"暴";"2008/10/3 00:00:00"
"080641";"pu4";"ㄆㄨˋ";"3";"暴";"2008/10/3 00:00:00"
"080642";"chao2";"ㄔㄠˊ";"2";"潮";"2008/10/3 00:00:00"
"080643";"gu3";"ㄍㄨˇ";"2";"穀";"2008/10/3 00:00:00"
"080644";"di3";"ㄉㄧˇ";"2";"抵";"2008/11/7 00:00:00"
"080645";"di3";"ㄉㄧˇ";"3";"抵";"2008/11/7 00:00:00"
"080646";"yao4";"ㄧㄠˋ";"2";"耀";"2008/11/7 00:00:00"
"080647";"fan1";"ㄈㄢ";"3";"番";"2008/11/7 00:00:00"
"080648";"huan1";"ㄏㄨㄢ";"2";"歡";"2008/11/7 00:00:00"
"080649";"jian4";"ㄐㄧㄢˋ";"2";"箭";"2008/11/7 00:00:00"
"080650";"da1";"ㄉㄚ";"2";"搭";"2008/11/7 00:00:00"
"080651";"da1";"ㄉㄚ";"3";"搭";"2008/11/7 00:00:00"
"080652";"da1";"ㄉㄚ";"4";"搭";"2008/11/7 00:00:00"
"080653";"zhe2";"ㄓㄜˊ";"2";"折";"2008/5/23 00:00:00"
"080654";"lian4";"ㄌㄧㄢˋ";"2";"練";"2008/5/23 00:00:00"
"080655";"he4";"ㄏㄜˋ";"2";"賀";"2009/1/23 00:00:00"
"080656";"bo2";"ㄅㄛˊ";"2";"柏";"2009/2/20 00:00:00"
"080657";"ye2";"ㄧㄝˋ";"2";"夜";"2008/6/13 00:00:00"
"080658";"cang1";"ㄘㄤ";"2";"蒼";"2009/2/20 00:00:00"
"080659";"zhuang4";"ㄓㄨㄤˋ";"2";"壯";"2009/2/20 00:00:00"
"080660";"hong2";"ㄏㄨㄥˊ";"2";"宏";"2009/2/20 00:00:00"
"070317";"ban3";"ㄅㄢˇ";"1";"版";"2008/10/3 00:00:00"
"080661";"jie";"ㄐㄧㄝ";"2";"接";"2008/12/12 00:00:00"
"080662";"qi3";"ㄑㄧˇ";"2";"啟";"2008/12/12 00:00:00"
"080663";"qi3";"ㄑㄧˇ";"3";"啟";"2008/12/12 00:00:00"
"080664";"wei4";"ㄨㄟˋ";"2";"衛";"2008/12/12 00:00:00"
"080665";"wei4";"ㄨㄟˋ";"3";"衛";"2008/12/12 00:00:00"
"080666";"wei4";"ㄨㄟˋ";"4";"衛";"2008/12/12 00:00:00"
"080667";"wei4";"ㄨㄟˋ";"5";"衛";"2008/12/12 00:00:00"
"080668";"pin3";"ㄆㄧㄣˇ";"2";"品";"2008/12/12 00:00:00"
"080669";"jue2";"ㄐㄩㄝˊ";"2";"決";"2008/12/12 00:00:00"
"080670";"ji4";"ㄐㄧˋ";"2";"紀";"2008/12/12 00:00:00"
"080671";"ji4";"ㄐㄧˋ";"3";"紀";"2008/12/12 00:00:00"
"080672";"zeng1";"ㄗㄥ";"2";"曾";"2008/12/19 00:00:00"
"092618";"dang4";"ㄉㄤˋ";"2";"蕩";"2009/5/8 00:00:00"
"100027";"fa1 chu1";"ㄈㄚ ㄔㄨ";"2";"發出";"2009/9/11 00:00:00"
"100028";"zhuai1";"ㄓㄨㄞ";"2";"拽";"2009/9/11 00:00:00"
"100029";"zhuai4";"ㄓㄨㄞˋ";"3";"拽";"2009/9/11 00:00:00"
"100030";"sha1";"ㄕㄚ";"2";"剎";"2009/9/11 00:00:00"
"100031";"tan4 zhi1";"ㄊㄢˋ　ㄓ";"1";"探知";"2010/1/14 00:00:00"
"100032";"qing1 xi3";"ㄑㄧㄥ　ㄒㄧˇ";"1";"清洗";"2010/1/14 00:00:00"
"100033";"qing1 li3";"ㄑㄧㄥ　ㄌㄧˇ";"1";"清理";"2010/1/14 00:00:00"
"100034";"qing1 jie2";"ㄑㄧㄥ　ㄐㄧㄝˊ";"1";"清潔";"2010/1/14 00:00:00"
"100035";"qing1 xi1";"ㄑㄧㄥ　ㄒㄧ";"1";"清晰";"2010/1/14 00:00:00"
"100037";"you2 chuan2 ";"ㄧㄡˊ ㄔㄨㄢˊ";"1";"油船";"2010/1/14 00:00:00"
"100038";"you2 wu1";"ㄧㄡˊ　ㄨ";"1";"油污";"2010/1/14 00:00:00"
"100039";"shui3 zhi2";"ㄕㄨㄟˇ　ㄓˊ";"1";"水質";"2010/1/14 00:00:00"
"100040";"yuan2 yu1";"ㄩㄢˊ　ㄩˊ";"1";"源於";"2010/1/14 00:00:00"
"100041";"wei2 li4";"ㄨㄟˊ　ㄌㄧˋ";"1";"微粒";"2010/1/14 00:00:00"
"100042";"nuan3 ji4";"ㄋㄨㄢˇ ㄐㄧˋ";"1";"暖季";"2010/1/14 00:00:00"
"100043";"wei2 xiao3";"ㄨㄟˊ　ㄒㄧㄠˇ";"1";"微小";"2010/1/14 00:00:00"
"100044";"shui3 dao4";"ㄕㄨㄟˇ　ㄉㄠˋ";"1";"水道";"2010/1/14 00:00:00"
"100036";"hai3 shui3";"ㄏㄞˇ　ㄕㄨㄟˇ";"1";"海水";"2010/1/14 00:00:00"
"100045";"bo4 qian1(bo1 qian1)";"ㄅㄛˋ ㄑㄧㄢ (ㄅㄛ ㄑㄧㄢ)";"1";"播遷";"2010/1/14 00:00:00"
"100046";"fan4 chou2";"ㄈㄢˋ　ㄔㄡˊ";"1";"範疇";"2010/1/14 00:00:00"
"100047";"cuo4 luan4";"ㄘㄨㄛˋ　ㄌㄨㄢˋ";"1";"錯亂";"2010/1/14 00:00:00"
"100048";"fan2 zhi2";"ㄈㄢˊ　ㄓˊ";"1";"繁殖";"2010/1/14 00:00:00"
"100049";"zong4 he2";"ㄗㄨㄥˋ　ㄏㄜˊ";"1";"綜合";"2010/1/14 00:00:00"
"100050";"jian3 jie4";"ㄐㄧㄢˇ　ㄐㄧㄝˋ";"1";"簡介";"2010/1/14 00:00:00"
"100051";"ni3 ding4";"ㄋㄧˇ　ㄉㄧㄥˋ";"1";"擬訂";"2010/1/14 00:00:00"
"100052";"mi3";"ㄇㄧˇ";"2";"弭";"2010/1/14 00:00:00"
"100053";"ti3";"ㄊㄧˇ";"2";"体";"2010/1/14 00:00:00"
"100054";"hang2 dao4";"ㄏㄤˊ　ㄉㄠˋ";"1";"航道";"2010/1/21 00:00:00"
"100055";"ji4 yi4 li4";"ㄐㄧˋ　ㄧˋ　ㄌㄧˋ";"1";"記憶力";"2010/1/21 00:00:00"
"100056";"neng2 liang4";"ㄋㄥˊ　ㄌㄧㄤˋ";"1";"能量";"2010/1/21 00:00:00"
"100057";"neng2 yuan2";"ㄋㄥˊ　ㄩㄢˊ";"1";"能源";"2010/1/21 00:00:00"
"100058";"tiao3 zhan4";"ㄊㄧㄠˇ　ㄓㄢˋ";"1";"挑戰";"2010/1/21 00:00:00"
"100059";"ji1 yin1";"ㄐㄧ　ㄧㄣ";"1";"基因";"2010/1/21 00:00:00"
"100060";"gong4 xian4";"ㄍㄨㄥˋ　ㄒㄧㄢˋ";"1";"貢獻";"2010/1/21 00:00:00"
"100061";"zuo4 chu1";"ㄗㄨㄛˋ　ㄔㄨ";"1";"做出";"2010/1/21 00:00:00"
"100062";"ku1 jie2";"ㄎㄨ　ㄐㄧㄝˊ";"1";"枯竭";"2010/1/21 00:00:00"
"100063";"zhi3 biao1";"ㄓˇ　ㄅㄧㄠ";"1";"指標";"2010/1/21 00:00:00"
"100064";"fu2 you2";"ㄈㄨˊ　ㄧㄡˊ";"1";"浮游";"2010/1/21 00:00:00"
"100065";"fu2 you2";"ㄈㄨˊ　ㄧㄡˊ";"2";"浮游";"2010/1/21 00:00:00"
"100066";"gao1 yu1";"ㄍㄠ　ㄩˊ";"1";"高於";"2010/1/21 00:00:00"
"100067";"gao1 dian3";"ㄍㄠ　ㄉㄧㄢˇ";"1";"高點";"2010/1/21 00:00:00"
"100068";"na3 shi2";"ㄋㄚˇ　ㄕˊ";"1";"那時";"2010/1/21 00:00:00"
"100069";"na4 shi2";"ㄋㄚˋ　ㄕˊ";"2";"那時";"2010/1/21 00:00:00"
"100070";"fang2 huan4 wei4 ran2";"ㄈㄤˊ　ㄏㄨㄢˋ　ㄨㄟˋ　ㄖㄢˊ";"1";"防患未然";"2010/1/21 00:00:00"
"100071";"dian3 xing2";"ㄉㄧㄢˇ　ㄒㄧㄥˊ";"1";"典型";"2010/1/21 00:00:00"
"100072";"zhi4 yue1";"ㄓˋ　ㄩㄝ";"1";"制約";"2010/1/21 00:00:00"
"100073";"shou4 yi4";"ㄕㄡˋ　ㄧˋ";"1";"受益";"2010/1/21 00:00:00"
"100074";"ding4 lyu4";"ㄉㄧㄥˋ　ㄌㄩˋ";"1";"定律";"2010/1/21 00:00:00"
"100075";"ding4 zhi2";"ㄉㄧㄥˋ　ㄓˊ";"1";"定值";"2010/1/21 00:00:00"
"100076";"zhe2 zhong1";"ㄓㄜˊ　ㄓㄨㄥ";"1";"折衷";"2010/1/21 00:00:00"
"100077";"chen2 chuan2";"ㄔㄣˊ　ㄔㄨㄢˊ";"1";"沉船";"2010/1/21 00:00:00"
"100078";"chen2 ji1";"ㄔㄣˊ　ㄐㄧ";"1";"沉積";"2010/1/21 00:00:00"
"100079";"ban4 sui2";"ㄅㄢˋ　ㄙㄨㄟˊ";"1";"伴隨";"2010/1/21 00:00:00"
"100080";"ding4 lun4";"ㄉㄧㄥˋ　ㄌㄨㄣˋ";"1";"定論";"2010/1/21 00:00:00"
"092949";"ru4 shou3";"ㄖㄨˋ　ㄕㄡˇ";"1";"入手";"2009/11/20 00:00:00"
"092950";"ru4 qin1";"ㄖㄨˋ　ㄑㄧㄣ";"1";"入侵";"2009/11/20 00:00:00"
"092951";"li4 zheng1";"ㄌㄧˋ　ㄓㄥ";"1";"力爭";"2009/11/20 00:00:00"
"092952";"xia4 jie2 lun4";"ㄒㄧㄚˋ　ㄐㄧㄝˊ　ㄌㄨㄣˋ";"1";"下結論";"2009/11/20 00:00:00"
"092953";"shang4 qu4";"ㄕㄤˋ　ㄑㄩˋ";"1";"上去";"2009/11/20 00:00:00"
"092954";"da4 yu1";"ㄉㄚˋ　ㄩˊ";"1";"大於";"2009/11/20 00:00:00"
"092955";"da4 qi4";"ㄉㄚˋ　ㄑㄧˋ";"1";"大氣";"2009/11/20 00:00:00"
"092956";"da4 qi4";"ㄉㄚˋ　ㄑㄧˋ";"2";"大氣";"2009/11/20 00:00:00"
"092957";"zi3 sun1";"ㄗˇ　ㄙㄨㄣ";"1";"子孫";"2009/11/20 00:00:00"
"092958";"gan1 yu4";"ㄍㄢ　ㄩˋ";"1";"干預";"2009/11/20 00:00:00"
"092959";"zhong4 du2";"ㄓㄨㄥˋ　ㄉㄨˊ";"1";"中毒";"2009/11/20 00:00:00"
"092960";"zhong1 ye4";"ㄓㄨㄥ　ㄧㄝˋ";"1";"中葉";"2009/11/20 00:00:00"
"092961";"gong1 yue1";"ㄍㄨㄥ　ㄩㄝ";"1";"公約";"2009/11/20 00:00:00"
"092962";"gong1 zhong4";"ㄍㄨㄥ　ㄓㄨㄥˋ";"1";"公眾";"2009/11/20 00:00:00"
"092963";"ke3 xing2";"ㄎㄜˇ　ㄒㄧㄥˊ";"1";"可行";"2009/11/20 00:00:00"
"092964";"ke3 neng2 xing4";"ㄎㄜˇ　ㄋㄥˊ　ㄒㄧㄥˋ";"1";"可能性";"2009/11/20 00:00:00"
"092965";"wai4 ke2";"ㄨㄞˋ　ㄎㄜˊ";"1";"外殼";"2009/11/20 00:00:00"
"092966";"yong3 jiu3";"ㄩㄥˇ　ㄐㄧㄡˇ";"1";"永久";"2009/11/20 00:00:00"
"092967";"sheng1 ming4 li4";"ㄕㄥ　ㄇㄧㄥˋ　ㄌㄧˋ";"1";"生命力";"2009/11/20 00:00:00"
"092968";"sheng1 gao1";"ㄕㄥ　ㄍㄠ";"1";"升高";"2009/11/20 00:00:00"
"092885";"chuang4 zao4 xing4";"ㄔㄨㄤˋ　ㄗㄠˋ　ㄒㄧㄥˋ";"1";"創造性";"2009/11/27 00:00:00"
"092969";"han2 liu2";"ㄏㄢˊ　ㄌㄧㄡˊ";"1";"寒流";"2009/11/27 00:00:00"
"092970";"tu2 jing4";"ㄊㄨˊ　ㄐㄧㄥˋ";"1";"途徑";"2009/11/27 00:00:00"
"092971";"pai2 wu1";"ㄆㄞˊ　ㄨ";"1";"排污";"2009/11/27 00:00:00"
"092972";"pai2 fang4 dao4";"ㄆㄞˊ　ㄈㄤˋ　ㄉㄠˋ";"1";"排放到";"2009/11/27 00:00:00"
"092973";"pai2 ru4";"ㄆㄞˊ　ㄖㄨˋ";"1";"排入";"2009/11/27 00:00:00"
"092974";"pai2 ru4";"ㄆㄞˊ　ㄖㄨˋ";"2";"排入";"2009/11/27 00:00:00"
"092975";"pai2 chu1";"ㄆㄞˊ　ㄔㄨ";"1";"排出";"2009/11/27 00:00:00"
"092976";"pai2 chu1";"ㄆㄞˊ　ㄔㄨ";"2";"排出";"2009/11/27 00:00:00"
"092977";"chi1 xia4";"ㄔ　ㄒㄧㄚˋ";"1";"吃下";"2009/11/27 00:00:00"
"092978";"you3 du2";"ㄧㄡˇ　ㄉㄨˊ";"1";"有毒";"2009/11/27 00:00:00"
"092979";"you3 hai4";"ㄧㄡˇ　ㄏㄞˋ";"1";"有害";"2009/11/27 00:00:00"
"092980";"you3 sheng1 zhi1 nian2";"ㄧㄡˇ　ㄕㄥ　ㄓ　ㄋㄧㄢˊ";"1";"有生之年";"2009/11/27 00:00:00"
"092981";"hui2 shou1";"ㄏㄨㄟˊ　ㄕㄡ";"1";"回收";"2009/11/27 00:00:00"
"092982";"jiao3 luo4";"ㄐㄧㄠˇ　ㄌㄨㄛˋ";"1";"角落";"2009/11/27 00:00:00"
"092983";"shen1 chu3";"ㄕㄣ　ㄔㄨˇ";"1";"身處";"2009/11/27 00:00:00"
"092984";"wei4 chu3";"ㄨㄟˋ　ㄔㄨˇ";"1";"位處";"2009/11/27 00:00:00"
"092985";"zhu4 fang2";"ㄓㄨˋ　ㄈㄤˊ";"1";"住房";"2009/11/27 00:00:00"
"092986";"di1 wen1";"ㄉㄧ　ㄨㄣ";"1";"低溫";"2009/11/27 00:00:00"
"092987";"sheng1 li3";"ㄕㄥ　ㄌㄧˇ";"1";"生理";"2009/12/3 00:00:00"
"092988";"fen4 bu4";"ㄈㄣˋ　ㄅㄨˋ";"1";"分布";"2009/12/3 00:00:00"
"092989";"fen1 ge2";"ㄈㄣ　ㄍㄜˊ";"1";"分隔";"2009/12/3 00:00:00"
"092990";"fen1 jie3";"ㄈㄣ　ㄐㄧㄝˇ";"1";"分解";"2009/12/3 00:00:00"
"092991";"zhi1 cheng1";"ㄓ　ㄔㄥ";"1";"支撐";"2009/12/3 00:00:00"
"092992";"mu4 cai2";"ㄇㄨˋ　ㄘㄞˊ";"1";"木材";"2009/12/3 00:00:00"
"092993";"yi3 wang3";"ㄧˇ　ㄨㄤˇ";"1";"以往";"2009/12/3 00:00:00"
"092994";"bao1 zhuang1";"ㄅㄠ　ㄓㄨㄤ";"1";"包裝";"2009/12/3 00:00:00"
"092995";"qu4 chu2";"ㄑㄩˋ　ㄔㄨˊ";"1";"去除";"2009/12/3 00:00:00"
"092996";"shao3 yu1";"ㄕㄠˇ　ㄩˊ";"1";"少於";"2009/12/3 00:00:00"
"092997";"yin3 ru4";"ㄧㄣˇ　ㄖㄨˋ";"1";"引入";"2009/12/3 00:00:00"
"092998";"ji1 li4";"ㄐㄧ　ㄌㄧˋ";"1";"激勵";"2009/12/3 00:00:00"
"092999";"zhi1 zhu1";"ㄓ　ㄓㄨ";"1";"蜘蛛";"2009/12/3 00:00:00"
"100098";"hai3 yu1";"ㄏㄞˇ　ㄩˊ";"1";"海魚";"2010/2/11 00:00:00"
"100099";"hai3 niao3";"ㄏㄞˇ　ㄋㄧㄠˇ";"1";"海鳥";"2010/2/11 00:00:00"
"100100";"zhuan1 yi1 xing4";"ㄓㄨㄢ ㄧ ㄒㄧㄥˋ";"1";"專一性";"2010/1/28 00:00:00"
"100101";"tui1 yi2";"ㄊㄨㄟ　ㄧˊ";"1";"推移";"2010/1/28 00:00:00"
"100102";"tuei1 jin4";"ㄊㄨㄟ ㄐㄧㄣˋ";"1";"推進";"2010/1/28 00:00:00"
"100104";"shen1 ru4 dao4";"ㄕㄣ　ㄖㄨˋ　ㄉㄠˋ";"1";"深入到";"2010/1/28 00:00:00"
"100105";"shen1 yuan3";"ㄕㄣ　ㄩㄢˇ";"1";"深遠";"2010/1/28 00:00:00"
"100106";"yi4 zhi2 xing4";"ㄧˋ　ㄓˊ　ㄒㄧㄥˋ";"1";"異質性";"2010/1/28 00:00:00"
"100107";"tou4 she4";"ㄊㄡˋ ㄕㄜˋ";"1";"透射";"2010/1/28 00:00:00"
"100108";"xian4 ru4";"ㄒㄧㄢˋ　ㄖㄨˋ";"1";"陷入";"2010/1/28 00:00:00"
"100109";"jian3 zhi4";"ㄐㄧㄢˇ　ㄓˋ";"1";"減至";"2010/1/28 00:00:00"
"100110";"jin1 yong4";"ㄐㄧㄣ  ㄩㄥˋ";"1";"禁用";"2010/1/28 00:00:00"
"100111";"jin4  yong4";"ㄐㄧㄣˋ ㄩㄥˋ";"2";"禁用";"2010/1/28 00:00:00"
"100112";"xia4";"ㄒㄧㄚˋ";"2";"廈";"2009/10/2 00:00:00"
"100113";"dian1";"ㄉㄧㄢ";"2";"滇";"2009/10/2 00:00:00"
"100114";"yu2";"ㄩˊ";"2";"瑜";"2009/10/2 00:00:00"
"100115";"yu2";"ㄩˊ";"3";"瑜";"2009/10/2 00:00:00"
"100116";"xun4";"ㄒㄩㄣˋ";"2";"遜";"2009/10/2 00:00:00"
"100117";"zhong3 zhong3";"ㄓㄨㄥˇ　ㄓㄨㄥˇ";"1";"種種";"2010/2/4 00:00:00"
"100118";"yun4 lv4";"ㄩㄣˋ　ㄌㄩˋ";"1";"韻律";"2010/2/4 00:00:00"
"100119";"ren4 shi4 dao4";"ㄖㄣˋ　ㄕˋ　ㄉㄠˋ";"1";"認識到";"2010/2/4 00:00:00"
"100120";"zhao4 she4";"ㄓㄠˋ　ㄕㄜˋ";"1";"照射";"2010/2/4 00:00:00"
"100121";"yi2 ru4";"ㄧˊ　ㄖㄨˋ";"1";"移入";"2010/2/4 00:00:00"
"100122";"qun2 ju4";"ㄑㄩㄣˊ　ㄐㄩˋ";"1";"群聚";"2010/2/4 00:00:00"
"100123";"wu1 shui3";"ㄨ　ㄕㄨㄟˇ";"1";"污水";"2010/2/4 00:00:00"
"100124";"sha1 ni2";"ㄕㄚ ㄋㄧˊ";"1";"沙泥";"2010/2/4 00:00:00"
"100125";"hai3 shi1";"ㄏㄞˇ　ㄕ";"1";"海獅";"2010/2/4 00:00:00"
"100126";"hai3 tun2";"ㄏㄞˇ　ㄊㄨㄣˊ";"1";"海豚";"2010/2/4 00:00:00"
"100127";"fa1 jue2";"ㄈㄚ　ㄐㄩㄝˊ";"1";"發掘";"2010/2/4 00:00:00"
"100128";"shu1 shi4";"ㄕㄨ　ㄕˋ";"1";"舒適";"2010/2/4 00:00:00"
"100129";"ji2 cheng2";"ㄐㄧˊ ㄔㄥˊ";"1";"集成";"2010/2/4 00:00:00"
"100130";"hui4";"ㄏㄨㄟˋ";"2";"惠";"2010/1/7 00:00:00"
"100131";"li4";"ㄌㄧˋ";"2";"酈";"2010/1/7 00:00:00"
"100132";"di3 da2";"ㄉㄧˇ　ㄉㄚˊ";"1";"抵達";"2010/1/28 00:00:00"
"100133";"yi1 kao4";"ㄧ　ㄎㄠˋ";"1";"依靠";"2010/1/28 00:00:00"
"100134";"fang4 she4 chu1";" ㄈㄤˋ ㄕㄜˋ ㄔㄨ";"1";"放射出";"2010/1/28 00:00:00"
"100135";"fang4 she4";"ㄈㄤˋ　ㄕㄜˋ";"1";"放射";"2010/1/28 00:00:00"
"100136";"zhan4 yong4";"ㄓㄢˋ　ㄩㄥˋ";"1";"佔用";"2010/1/28 00:00:00"
"100137";"gu1 ji4 dao4";"ㄍㄨˋ ㄐㄧˋ ㄉㄠˋ";"1";"估計到";"2010/1/28 00:00:00"
"100138";"gu1 suan4";"ㄍㄨ　ㄙㄨㄢˋ";"1";"估算";"2010/1/28 00:00:00"
"100139";"di4 biao3";"ㄉㄧˋ　ㄅㄧㄠˇ";"1";"地表";"2010/1/28 00:00:00"
"100140";"di4 li3 xue2";"ㄉㄧˋ　ㄌㄧˇ　ㄒㄩㄝˊ";"1";"地理學";"2010/1/28 00:00:00"
"100141";"di4 ceng2";"ㄉㄧˋ　ㄘㄥˊ";"1";"地層";"2010/1/28 00:00:00"
"100142";"pen1 wu4 ji4";"ㄆㄣ ㄨˋ ㄐㄧˋ";"1";"噴霧劑";"2010/1/28 00:00:00"
"100143";"dong4 zhi2 wu4";"ㄉㄨㄥˋ　ㄓˊ　ㄨˋ";"1";"動植物";"2010/1/28 00:00:00"
"100144";"bing1 xue3";"ㄅㄧㄥ　ㄒㄩㄝˇ";"1";"冰雪";"2010/1/28 00:00:00"
"100145";"zhuan4 mei2";"ㄓㄨㄢˋ　ㄇㄟˊ";"1";"傳媒";"2010/1/28 00:00:00"
"100146";"yang3 hua4 ya3 dan4";"ㄧㄤˇ ㄏㄨㄚˋ ㄧㄚˇ ㄉㄢˋ";"1";"氧化亞氮";"2010/1/28 00:00:00"
"100147";"ji1 qu1";"ㄐㄧˊ ㄑㄩ";"1";"極區";"2010/1/28 00:00:00"
"100148";"long2 xia1";"ㄌㄨㄥˊ　ㄒㄧㄚ";"1";"龍蝦";"2010/1/28 00:00:00"
"100149";"niao3 lei4";"ㄋㄧㄠˇ　ㄌㄟˋ";"1";"鳥類";"2010/1/28 00:00:00"
"100150";"su4 lyu4";"ㄙㄨˋ　ㄌㄩˋ";"1";"速率";"2010/1/28 00:00:00"
"100151";"yang3 hua4 cheng2";"ㄧㄤˇ　ㄏㄨㄚˋ　ㄔㄥˊ";"1";"氧化成";"2010/1/28 00:00:00"
"100152";"sheng1 gao1";"ㄕㄥ　ㄍㄠ";"1";"昇高";"2010/1/28 00:00:00"
"100153";"fu2 lyu4 tan4 hua4 wu4";"ㄈㄨˊ ㄌㄩˋ ㄊㄢˋ ㄏㄨㄚˋ ㄨˋ";"1";"氟氯碳化物";"2010/1/28 00:00:00"
"100154";"su4";"ㄙㄨˋ";"2";"夙";"2010/2/25 00:00:00"
"100155";"xiao1 ji2";"ㄒㄧㄠ　ㄐㄧˊ";"1";"消極";"2010/2/11 00:00:00"
"100081";"pan4 ding4";"ㄆㄢˋ　ㄉㄧㄥˋ";"1";"判定";"2010/1/21 00:00:00"
"100082";"duo1 yang4 hua4";"ㄉㄨㄛ　ㄧㄤˋ　ㄏㄨㄚˋ";"1";"多樣化";"2010/1/21 00:00:00"
"100083";"liang3 ji2 hua4";"ㄌㄧㄤˇ　ㄐㄧˊ　ㄏㄨㄚˋ";"1";"兩極化";"2010/1/21 00:00:00"
"100084";"yan2 chang2";"ㄧㄢˊ　ㄔㄤˊ";"1";"延長";"2010/1/14 00:00:00"
"100085";"kun4 nan4 du4";"ㄎㄨㄣˋ　ㄋㄢˋ　ㄉㄨˋ";"1";"困難度";"2010/1/14 00:00:00"
"100086";"fang2 ai4";"ㄈㄤˊ　ㄞˋ";"1";"妨礙";"2010/1/14 00:00:00"
"100087";"suo3 ji2";"ㄙㄨㄛˇ　ㄐㄧˊ";"1";"所及";"2010/1/14 00:00:00"
"100088";"suo3 you3 wu4";"ㄙㄨㄛˇ　ㄧㄡˇ　ㄨˋ";"1";"所有物";"2010/1/14 00:00:00"
"100089";"suo3 de2";"ㄙㄨㄛˇ　ㄉㄜˊ";"1";"所得";"2010/1/14 00:00:00"
"100090";"di4 zhan1";"ㄉㄧˋ　ㄓㄢ";"1";"地氈";"2010/1/14 00:00:00"
"100091";"li4 xi2";"ㄌㄧˋ　ㄒㄧˊ";"1";"利息";"2010/1/14 00:00:00"
"100092";"geng4 shao3";"ㄍㄥˋ　ㄕㄠˇ";"1";"更少";"2010/1/14 00:00:00"
"100093";"ji2 ji2 ke3 wei2";"ㄐㄧˊ　ㄐㄧˊ　ㄎㄜˇ　ㄨㄟˊ";"1";"岌岌可危";"2010/1/14 00:00:00"
"100094";"han2 liang4";"ㄏㄢˊ　ㄌㄧㄤˋ";"1";"含量";"2010/1/14 00:00:00"
